"SQINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2","2020:Q3","2020:Q4","2021:Q1","2021:Q2"
"18000","Indiana","1","Personal income (millions of dollars, seasonally adjusted)",226416.8,230911.1,233323.6,236177.3,241694.9,244521.2,249027.1,250732.8,253645.1,257312.0,257944.8,263643.9,261592.5,261639.5,261788.6,261788.6,266255.6,271092.3,274213.8,277418.1,279180.7,282298.8,283665.4,286140.5,287803.0,289441.2,291567.9,293605.4,296417.0,299871.0,302931.4,307356.1,311739.7,314503.7,318319.5,322566.3,326213.4,327742.4,330861.8,333910.3,338781.2,363680.2,349234.3,351342.3,400397.2,369892.8
"18000","Indiana","2","Population (midperiod, persons) 1/",6480780,6487216,6494882,6502458,6507868,6513675,6520660,6526865,6531515,6536155,6544158,6553369,6559406,6566264,6574413,6581934,6587163,6592696,6599132,6604327,6606465,6609317,6615573,6623116,6628367,6634233,6641828,6649053,6653723,6658655,6667512,6677709,6685010,6693482,6703408,6712551,6719081,6726545,6735602,6744123,6749563,6753337,6758180,6763974,6767021,6771473
"18000","Indiana","3","Per capita personal income (dollars) 2/",34937,35595,35924,36321,37139,37540,38190,38416,38834,39367,39416,40230,39881,39846,39819,39774,40420,41120,41553,42006,42259,42712,42878,43203,43420,43628,43899,44157,44549,45035,45434,46027,46633,46987,47486,48054,48550,48724,49121,49511,50193,53852,51676,51943,59169,54625
"19000","Iowa","1","Personal income (millions of dollars, seasonally adjusted)",114446.9,116476.5,117713.6,118987.0,124198.4,124746.4,126922.3,128045.7,130368.0,132374.6,131265.1,134628.0,134087.6,134803.6,135381.5,134758.6,136201.9,139589.8,140519.9,141813.6,143255.7,143797.6,145352.1,145945.2,144977.4,145403.4,146200.8,146578.4,147685.1,148952.3,149823.8,151729.1,153256.8,154491.6,156269.1,160271.1,158301.1,157728.4,160643.2,161985.5,162492.5,176419.8,167002.6,170811.6,190352.2,178648.6
"19000","Iowa","2","Population (midperiod, persons) 1/",3044940,3048807,3053360,3057823,3061115,3064659,3068424,3071346,3073385,3075503,3079620,3084580,3087847,3091607,3096387,3101156,3104697,3108471,3112759,3116417,3118474,3120932,3124306,3127451,3129403,3131686,3135011,3138252,3140123,3142214,3144971,3147082,3147677,3148894,3151570,3154519,3156137,3158196,3160900,3163175,3163869,3163732,3164061,3164703,3164178,3164353
"19000","Iowa","3","Per capita personal income (dollars) 2/",37586,38204,38552,38912,40573,40705,41364,41690,42418,43042,42624,43645,43424,43603,43722,43454,43870,44906,45143,45505,45938,46075,46523,46666,46328,46430,46635,46707,47032,47404,47639,48213,48689,49062,49585,50807,50157,49943,50822,51210,51359,55763,52781,53974,60159,56457
"20000","Kansas","1","Personal income (millions of dollars, seasonally adjusted)",110814.3,113305.4,115447.0,117392.6,120564.5,123122.3,125051.5,125496.9,130598.0,130849.0,128792.9,133552.6,131477.6,134218.1,134547.8,135676.1,133848.8,136288.8,138148.3,139229.0,138261.5,138430.6,138497.0,138157.9,137060.5,138008.0,139087.3,139979.9,140521.2,141849.4,143044.7,145503.5,146642.6,147785.3,149695.5,151699.5,153359.0,153612.4,155872.3,157000.3,158409.5,169709.3,160691.8,165038.1,180862.3,170078.5
"20000","Kansas","2","Population (midperiod, persons) 1/",2850084,2855657,2860186,2863487,2865736,2868154,2872093,2876570,2880229,2883930,2887660,2890368,2891588,2893130,2895601,2898040,2899384,2900858,2903551,2906374,2907801,2909519,2911417,2912401,2912336,2912542,2913167,2913212,2912049,2910992,2911550,2912530,2912179,2912328,2913161,2913608,2912859,2912498,2913537,2914991,2915050,2914318,2914230,2914698,2913752,2913307
"20000","Kansas","3","Per capita personal income (dollars) 2/",38881,39678,40363,40996,42071,42927,43540,43627,45343,45372,44601,46206,45469,46392,46466,46816,46165,46982,47579,47905,47548,47579,47570,47438,47062,47384,47744,48050,48255,48729,49130,49958,50355,50745,51386,52066,52649,52742,53499,53860,54342,58233,55140,56623,62072,58380
"21000","Kentucky","1","Personal income (millions of dollars, seasonally adjusted)",142273.7,144895.3,146675.0,147360.8,149905.4,151186.1,153005.9,154777.6,156182.9,157636.8,156937.5,159785.6,158768.9,158918.4,159450.8,159761.0,163272.5,165988.5,167673.8,169933.5,171931.3,173926.2,175000.7,176466.6,175561.3,176492.5,177861.7,178847.1,179933.6,181420.7,183047.5,185502.2,185532.7,187641.7,189307.4,190966.3,193839.2,195157.8,197040.0,198965.3,200695.5,227604.3,209285.0,210205.6,241175.1,220716.2
"21000","Kentucky","2","Population (midperiod, persons) 1/",4336185,4343844,4351886,4358032,4362766,4367832,4373397,4378151,4381853,4385631,4391029,4396652,4400168,4404266,4408605,4411917,4413643,4415628,4419292,4423220,4425087,4427452,4431047,4434434,4436313,4438644,4442811,4447424,4450287,4453398,4457230,4460101,4461055,4462862,4465841,4468522,4469484,4471071,4473966,4476796,4477580,4477422,4478653,4480945,4480430,4480714
"21000","Kentucky","3","Per capita personal income (dollars) 2/",32811,33356,33704,33814,34360,34614,34986,35352,35643,35944,35740,36343,36082,36083,36168,36211,36993,37591,37941,38418,38854,39284,39494,39795,39574,39763,40034,40214,40432,40738,41068,41591,41589,42045,42390,42736,43369,43649,44041,44444,44822,50834,46729,46911,53829,49259
"22000","Louisiana","1","Personal income (millions of dollars, seasonally adjusted)",169651.6,172705.4,176077.5,176768.8,177540.5,178132.9,179552.2,181068.2,185299.2,188782.5,187982.7,192978.7,190285.7,191316.2,191779.8,192607.4,196440.1,199669.9,201776.3,203289.4,200883.5,200698.2,201534.8,202337.4,196870.5,198911.5,201058.8,203921.7,203031.7,204669.2,207337.5,209774.3,211789.2,214127.1,216251.2,218278.8,219848.9,221116.7,222744.6,224528.5,224128.0,250861.4,239656.8,230662.5,264456.4,246778.4
"22000","Louisiana","2","Population (midperiod, persons) 1/",4527109,4539024,4549255,4557885,4565115,4572243,4579987,4587035,4593160,4598869,4605928,4612909,4617805,4622899,4629052,4634936,4639264,4643471,4649423,4655719,4659957,4664354,4669408,4673707,4676445,4679405,4681044,4680025,4677271,4674446,4673196,4671747,4668290,4665401,4664325,4663547,4660942,4658811,4657862,4656516,4652911,4648004,4644149,4641229,4636038,4631606
